Date,Open,High,Low,Close,Adj Close,Volume
2019-08-26,380.000000,380.559998,375.500000,380.320007,363.643005,688100
2019-08-27,381.750000,382.209991,377.250000,379.989990,363.327454,760300
2019-08-28,379.040009,383.000000,376.769989,380.970001,364.264465,820500
2019-08-29,384.529999,385.779999,380.799988,384.429993,367.572754,1063500
2019-08-30,383.250000,384.739990,381.510010,384.109985,369.380707,760700
2019-09-03,380.989990,385.179993,379.790009,384.690002,369.938446,891700
2019-09-04,387.309998,389.700012,385.899994,389.079987,374.160095,792200
2019-09-05,390.480011,393.429993,384.980011,385.149994,370.380768,941500
2019-09-06,387.279999,388.450012,385.809998,386.559998,371.736725,701100
2019-09-09,387.950012,388.290009,380.040009,380.209991,365.630219,1146900
2019-09-10,377.290009,381.320007,370.459991,381.320007,366.697662,1297600
2019-09-11,381.200012,385.799988,380.059998,381.549988,366.918823,1125300
2019-09-12,384.489990,388.510010,383.269989,386.630005,371.804047,855100
2019-09-13,387.769989,387.769989,383.600006,384.859985,370.101898,898600
2019-09-16,388.899994,394.600006,386.890015,392.660004,377.602814,1689900
2019-09-17,392.470001,399.959991,388.429993,393.980011,378.872192,975800
2019-09-18,394.779999,397.230011,391.549988,397.040009,381.814850,780300
2019-09-19,397.140015,398.500000,393.029999,393.429993,378.343292,1044400
2019-09-20,394.489990,395.440002,388.049988,388.250000,373.361908,2106700
2019-09-23,388.070007,390.059998,386.109985,387.670013,372.804199,1132200
2019-09-24,390.000000,392.989990,387.209991,389.170013,374.246674,1162400
2019-09-25,390.579987,390.899994,387.709991,390.429993,375.458313,1336400
2019-09-26,391.250000,394.640015,388.929993,392.920013,377.852875,875400
2019-09-27,395.940002,395.950012,386.429993,387.869995,372.996521,751800
2019-09-30,388.559998,393.820007,388.420013,390.059998,375.102478,1293200
2019-10-01,391.429993,392.480011,383.890015,384.190002,369.457611,1240000
2019-10-02,382.739990,383.059998,374.070007,378.160004,363.658844,1759000
2019-10-03,378.869995,381.190002,374.329987,380.059998,365.485962,849800
2019-10-04,380.209991,385.239990,379.489990,384.950012,370.188477,762200
2019-10-07,385.010010,386.679993,382.690002,383.779999,369.063324,850100
2019-10-08,381.059998,385.799988,379.290009,382.119995,367.466949,1001300
2019-10-09,384.829987,386.329987,382.500000,384.609985,369.861481,712000
2019-10-10,383.989990,388.510010,383.200012,386.880005,372.044464,690200
2019-10-11,389.790009,390.730011,381.250000,381.470001,366.841949,1327000
2019-10-14,382.769989,385.369995,381.390015,382.609985,367.938202,622300
2019-10-15,383.690002,385.700012,382.070007,382.750000,368.072815,835300
2019-10-16,382.390015,384.390015,380.230011,382.839996,368.159393,851300
2019-10-17,383.549988,384.209991,376.290009,377.059998,362.601013,1004600
2019-10-18,376.720001,377.709991,368.000000,372.480011,358.196686,1935600
2019-10-21,374.010010,375.890015,372.730011,374.049988,359.706451,1160000
2019-10-22,363.000000,377.500000,363.000000,373.679993,359.350616,2567200
2019-10-23,373.779999,374.989990,368.730011,373.089996,358.783234,1279700
2019-10-24,373.760010,377.459991,372.000000,374.739990,360.369995,1126900
2019-10-25,374.380005,374.890015,369.540009,370.730011,356.513763,1173500
2019-10-28,371.390015,375.450012,370.119995,371.839996,357.581146,1321700
2019-10-29,371.649994,375.250000,370.040009,371.100006,356.869537,1298500
2019-10-30,373.220001,378.989990,371.470001,378.640015,364.120453,1064900
2019-10-31,377.920013,380.179993,375.260010,376.679993,362.235565,911800
2019-11-01,378.109985,380.950012,376.940002,379.170013,364.630127,915600
2019-11-04,379.929993,380.779999,372.179993,374.480011,360.119934,1117500
2019-11-05,374.059998,375.769989,371.309998,373.630005,359.302521,1364200
